Set,Correct,Incorrect,Skipped
Basic Problems B,12,0,0
Basic Problems C,12,0,0
Basic Problems D,12,0,0
Basic Problems E,12,0,0
Challenge Problems B,0,0,12
Challenge Problems C,3,4,5
Challenge Problems D,1,7,4
Challenge Problems E,1,4,7
