Date,Symbol,Order,Shares
2008-04-16,IBM,SELL,100
2008-04-28,IBM,BUY,100
2008-04-29,IBM,BUY,100
2008-05-01,IBM,SELL,100
2008-05-02,IBM,BUY,100
2008-05-05,IBM,SELL,100
2008-05-07,IBM,SELL,100
2008-05-20,IBM,BUY,100
2008-05-21,IBM,BUY,100
2008-05-27,IBM,SELL,100
2008-05-28,IBM,SELL,100
2008-06-06,IBM,BUY,100
2008-06-09,IBM,BUY,100
2008-06-11,IBM,SELL,100
2008-06-13,IBM,BUY,100
2008-06-18,IBM,SELL,100
2008-06-20,IBM,BUY,100
2008-06-25,IBM,SELL,100
2008-06-27,IBM,SELL,100
2008-07-07,IBM,BUY,100
2008-07-16,IBM,SELL,100
2008-07-28,IBM,BUY,100
2008-07-29,IBM,BUY,100
2008-07-30,IBM,SELL,100
2008-08-01,IBM,SELL,100
2008-08-04,IBM,BUY,100
2008-08-05,IBM,SELL,100
2008-08-07,IBM,BUY,100
2008-08-11,IBM,SELL,100
2008-08-12,IBM,BUY,100
2008-08-19,IBM,SELL,100
2008-08-22,IBM,BUY,100
2008-08-26,IBM,SELL,100
2008-08-27,IBM,BUY,100
2008-08-28,IBM,SELL,100
2008-09-02,IBM,SELL,100
2008-09-11,IBM,BUY,100
2008-09-12,IBM,SELL,100
2008-09-15,IBM,BUY,100
2008-09-16,IBM,BUY,100
2008-09-17,IBM,SELL,100
2008-09-18,IBM,BUY,100
2008-09-19,IBM,SELL,100
2008-09-23,IBM,BUY,100
2008-09-24,IBM,SELL,100
2008-09-25,IBM,SELL,100
2008-09-29,IBM,BUY,100
2008-10-02,IBM,SELL,100
2008-10-20,IBM,BUY,100
2008-10-22,IBM,SELL,100
2008-10-28,IBM,BUY,100
2008-10-29,IBM,BUY,100
2008-10-31,IBM,SELL,100
2008-11-06,IBM,BUY,100
2008-11-07,IBM,BUY,100
2008-11-11,IBM,SELL,100
2008-11-24,IBM,BUY,100
2008-11-25,IBM,SELL,100
2008-12-01,IBM,BUY,100
2008-12-08,IBM,SELL,100
2008-12-11,IBM,BUY,100
2008-12-16,IBM,SELL,100
2008-12-19,IBM,BUY,100
2008-12-22,IBM,SELL,100
2008-12-26,IBM,BUY,100
2008-12-30,IBM,SELL,100
2008-12-31,IBM,SELL,100
2009-01-09,IBM,BUY,100
2009-01-12,IBM,BUY,100
2009-01-16,IBM,SELL,100
2009-01-21,IBM,BUY,100
2009-01-22,IBM,SELL,100
2009-01-29,IBM,BUY,100
2009-02-06,IBM,SELL,100
2009-02-17,IBM,BUY,100
2009-02-18,IBM,BUY,100
2009-02-19,IBM,SELL,100
2009-02-27,IBM,BUY,100
2009-03-02,IBM,SELL,100
2009-03-03,IBM,BUY,100
2009-03-06,IBM,SELL,100
2009-03-09,IBM,BUY,100
2009-03-11,IBM,SELL,100
2009-03-13,IBM,BUY,100
2009-03-17,IBM,SELL,100
2009-03-27,IBM,BUY,100
2009-03-30,IBM,BUY,100
2009-03-31,IBM,SELL,100
2009-04-02,IBM,SELL,100
2009-04-14,IBM,BUY,100
2009-04-15,IBM,BUY,100
2009-04-16,IBM,SELL,100
2009-04-27,IBM,BUY,100
2009-04-28,IBM,SELL,100
2009-04-29,IBM,SELL,100
2009-05-07,IBM,BUY,100
2009-05-08,IBM,BUY,100
2009-05-12,IBM,SELL,100
2009-05-14,IBM,BUY,100
2009-05-15,IBM,SELL,100
2009-05-18,IBM,BUY,100
2009-05-19,IBM,SELL,100
2009-05-21,IBM,BUY,100
2009-05-22,IBM,BUY,100
2009-05-26,IBM,SELL,100
2009-05-29,IBM,SELL,100
2009-06-16,IBM,BUY,100
2009-06-17,IBM,BUY,100
2009-06-22,IBM,SELL,100
2009-06-29,IBM,BUY,100
2009-07-01,IBM,SELL,100
2009-07-09,IBM,BUY,100
2009-07-10,IBM,SELL,100
2009-07-13,IBM,BUY,100
2009-07-14,IBM,SELL,100
2009-07-24,IBM,BUY,100
2009-08-03,IBM,SELL,100
2009-08-06,IBM,BUY,100
2009-08-17,IBM,SELL,100
2009-08-18,IBM,BUY,100
2009-08-19,IBM,SELL,100
2009-08-21,IBM,SELL,100
2009-08-27,IBM,BUY,100
2009-08-28,IBM,SELL,100
2009-08-31,IBM,BUY,100
2009-09-02,IBM,SELL,100
2009-09-08,IBM,BUY,100
2009-09-10,IBM,SELL,100
2009-09-11,IBM,BUY,100
2009-09-14,IBM,SELL,100
2009-09-28,IBM,BUY,100
2009-09-29,IBM,BUY,100
2009-10-01,IBM,SELL,100
2009-10-05,IBM,BUY,100
2009-10-06,IBM,SELL,100
2009-10-07,IBM,SELL,100
2009-10-16,IBM,BUY,100
2009-10-19,IBM,BUY,100
2009-10-23,IBM,SELL,100
2009-10-29,IBM,BUY,100
2009-11-02,IBM,SELL,100
2009-11-03,IBM,BUY,100
2009-11-05,IBM,SELL,100
2009-11-20,IBM,BUY,100
2009-11-27,IBM,BUY,100
2009-12-01,IBM,SELL,100
2009-12-04,IBM,BUY,100
2009-12-07,IBM,SELL,100
2009-12-08,IBM,BUY,100
2009-12-09,IBM,SELL,100
2009-12-10,IBM,SELL,100
2009-12-17,IBM,BUY,100
2009-12-18,IBM,BUY,100
2009-12-21,IBM,SELL,100
2009-12-24,IBM,SELL,100
